model,strategy,time_s,best_params,cv_f1_mean,cv_f1_std,test_f1,test_accuracy,test_precision,test_recall,test_roc_auc,test_kappa,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_roc_auc_mean,cv_roc_auc_std,cv_kappa_mean,cv_kappa_std
SVM,Grid Search,19.69303400699937,"{'clf__C': 1000.0, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.662137910327187,0.07123020203347959,0.6144578313253012,0.7229437229437229,0.6,0.6296296296296297,0.7993415637860082,0.3984375,0.7542748355832468,0.040196462687190626,0.627016317016317,0.06541750199369624,0.7027853235238635,0.08368272487154418,0.8037682773241558,0.042642945446980135,0.46854748829245096,0.09551946427824844
SVM,Random Search,0.9864874920003786,"{'clf__C': np.float64(1.2173252504194043), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.007362945281639215), 'clf__kernel': 'linear'}",0.656749652712094,0.09700079728626938,0.6707317073170732,0.7662337662337663,0.6626506024096386,0.6790123456790124,0.840082304526749,0.48956543088632454,0.7580996884735202,0.05595529538431112,0.648830971659919,0.12184917042270484,0.6760997924919827,0.10098021179625288,0.8196902638224461,0.060995820707154605,0.4719897422247195,0.13255824115306417
SVM,Bayesian Optimization,88.84585113899993,"OrderedDict({'clf__C': 1000.0, 'clf__class_weight': 'balanced', 'clf__gamma': 0.004533083291770342, 'clf__kernel': 'rbf'})",0.6631420745681865,0.09990947637204424,0.6363636363636364,0.7229437229437229,0.5894736842105263,0.691358024691358,0.8127572016460907,0.4148658275943956,,,,,,,,,,
SVM,Genetic Algorithm,163.39047909199962,"{'clf__kernel': 'linear', 'clf__C': np.float64(55.489500849782225), 'clf__gamma': np.float64(0.004919479396386502), 'clf__class_weight': 'balanced'}",0.6599374752997941,0.09377344461074072,0.6707317073170732,0.7662337662337663,0.6626506024096386,0.6790123456790124,0.84,0.48956543088632454,,,,,,,,,,
MLP,Grid Search,197.4293331710005,"{'clf__activation': 'relu', 'clf__alpha': 1e-05, 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (64, 32), 'clf__learning_rate_init': 0.01, 'clf__max_iter': 300, 'clf__solver': 'adam'}",0.6503495513308181,0.1242940460895866,0.5789473684210527,0.7229437229437229,0.6197183098591549,0.5432098765432098,0.8213991769547325,0.3738246505717916,0.7823468328141225,0.05926112438552543,0.7260714285714286,0.14682022727922062,0.6047962648556876,0.1447162724002384,0.8175512267791397,0.05957142913732428,0.49599909017570154,0.15960090880733174
MLP,Random Search,7.314119252999262,"{'clf__activation': 'relu', 'clf__alpha': np.float64(0.00029753909473493906), 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (128, 64), 'clf__learning_rate_init': np.float64(0.0010677482709481358), 'clf__max_iter': 600, 'clf__solver': 'adam'}",0.633954681954682,0.08259690362580048,0.581081081081081,0.7316017316017316,0.6417910447761194,0.5308641975308642,0.8370370370370369,0.38621753664181024,0.7655070958809278,0.04125823822526865,0.6978464342674868,0.12690814902769862,0.5914797747055812,0.07996555687413424,0.8227105127921582,0.05697057296783043,0.4647146841620161,0.10837264004546181
MLP,Genetic Algorithm,36.46670792700024,"{'clf__hidden_layer_sizes': (128, 64), 'clf__activation': 'relu', 'clf__solver': 'adam', 'clf__alpha': np.float64(2.680329154300202e-06), 'clf__learning_rate_init': np.float64(0.006843652518261589), 'clf__max_iter': 348, 'clf__early_stopping': True}",0.6515811839054638,0.08218245737352245,0.5793103448275863,0.7359307359307359,0.65625,0.5185185185185185,0.8333333333333334,0.39071215462446496,,,,,,,,,,
